Harry Potter and the Prisoner of Azkaban (Harry Potter_ #3),J.K. Rowling,4.54,2446934,1999,children-s,www.goodreads.com//book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
The Secret Garden (Hardcover),Frances Hodgson Burnett,4.12,967739,1911,children-s,www.goodreads.com//book/show/2998.The_Secret_Garden
Goodnight Moon (Hardcover),Margaret Wise Brown,4.27,344211,1947,children-s,www.goodreads.com//book/show/32929.Goodnight_Moon
The Cat in the Hat (Hardcover),Dr. Seuss,4.15,456132,1957,children-s,www.goodreads.com//book/show/233093.The_Cat_in_the_Hat
The Little Prince (Paperback),Antoine de Saint-Exupéry,4.28,1201465,1943,children-s,www.goodreads.com//book/show/157993.The_Little_Prince
A Wrinkle in Time (Time Quintet_ #1),Madeleine L'Engle,3.94,122052,1962,children-s,www.goodreads.com//book/show/33574273-a-wrinkle-in-time
The Very Hungry Caterpillar (Board book),Eric Carle,4.28,450540,1969,children-s,www.goodreads.com//book/show/4948.The_Very_Hungry_Caterpillar
Harry Potter and the Order of the Phoenix (Harry Potter_ #5),J.K. Rowling,4.47,2310327,2003,children-s,www.goodreads.com//book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
James and the Giant Peach (Hardcover),Roald Dahl,4.0,410970,1961,children-s,www.goodreads.com//book/show/6689.James_and_the_Giant_Peach
Harry Potter and the Half-Blood Prince (Harry Potter_ #6),J.K. Rowling,4.55,2271765,2005,children-s,www.goodreads.com//book/show/1.Harry_Potter_and_the_Half_Blood_Prince
Harry Potter and the Deathly Hallows (Harry Potter_ #7),J.K. Rowling,4.62,2387328,2007,children-s,www.goodreads.com//book/show/136251.Harry_Potter_and_the_Deathly_Hallows
Oh_ The Places You'll Go! (Hardcover),Dr. Seuss,4.35,380134,1990,children-s,www.goodreads.com//book/show/191139.Oh_The_Places_You_ll_Go_
The BFG (Paperback),Roald Dahl,4.22,393623,1982,children-s,www.goodreads.com//book/show/6319.The_BFG
How the Grinch Stole Christmas! (Hardcover),Dr. Seuss,4.36,356986,1957,children-s,www.goodreads.com//book/show/113946.How_the_Grinch_Stole_Christmas_
The Lorax (Hardcover),Dr. Seuss,4.35,320963,1971,children-s,www.goodreads.com//book/show/7784.The_Lorax
Anne of Green Gables (Anne of Green Gables_ #1),L.M. Montgomery,4.22,742232,1908,children-s,www.goodreads.com//book/show/8127.Anne_of_Green_Gables
The Wonderful Wizard of Oz (Oz_ #1),L. Frank Baum,3.98,401170,1900,children-s,www.goodreads.com//book/show/236093.The_Wonderful_Wizard_of_Oz
If You Give a Mouse a Cookie (Hardcover),Laura Joffe Numeroff,4.25,294685,1985,children-s,www.goodreads.com//book/show/767680.If_You_Give_a_Mouse_a_Cookie
The Witches (Paperback),Roald Dahl,4.17,350897,1983,children-s,www.goodreads.com//book/show/6327.The_Witches
The Magician's Nephew (Chronicles of Narnia_ #6),C.S. Lewis,4.03,395304,1955,children-s,www.goodreads.com//book/show/65605.The_Magician_s_Nephew
Alexander and the Terrible_ Horrible_ No Good_ Very Bad Day (Paperback),Judith Viorst,4.22,198576,1972,children-s,www.goodreads.com//book/show/46677.Alexander_and_the_Terrible_Horrible_No_Good_Very_Bad_Day
Peter Pan (Hardcover),J.M. Barrie,4.1,309259,1904,children-s,www.goodreads.com//book/show/34268.Peter_Pan
Holes (Holes_ #1),Louis Sachar,3.94,975391,1998,children-s,www.goodreads.com//book/show/38709.Holes
A Light in the Attic (Hardcover),Shel Silverstein,4.34,444543,1981,children-s,www.goodreads.com//book/show/30118.A_Light_in_the_Attic
Alice's Adventures in Wonderland & Through the Looking-Glass (Mass Market Paperback),Lewis Carroll,4.06,525759,1872,children-s,www.goodreads.com//book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
The Phantom Tollbooth (Paperback),Norton Juster,4.21,276760,1961,children-s,www.goodreads.com//book/show/378.The_Phantom_Tollbooth
The Tale of Peter Rabbit (Hardcover),Beatrix Potter,4.17,234094,1901,children-s,www.goodreads.com//book/show/19321.The_Tale_of_Peter_Rabbit
One Fish_ Two Fish_ Red Fish_ Blue Fish (Hardcover),Dr. Seuss,4.12,182829,1960,children-s,www.goodreads.com//book/show/7770.One_Fish_Two_Fish_Red_Fish_Blue_Fish
Bridge to Terabithia (Paperback),Katherine Paterson,3.98,514969,1977,children-s,www.goodreads.com//book/show/2839.Bridge_to_Terabithia
Little House in the Big Woods (Little House_ #1),Laura Ingalls Wilder,4.17,240414,1932,children-s,www.goodreads.com//book/show/8337.Little_House_in_the_Big_Woods
